date,BRLUSD,CADUSD,EURUSD,GBPUSD,JPYUSD,MXNUSD,USDBRL,USDCAD,USDJPY,USDMXN
2024-06-20,0.18358392539149274,0.7297672042618404,1.0708,1.2671,0.006298419096806701,0.054362598532209844,5.4471,1.3703,158.77,18.395
2024-06-21,0.18335503034525752,0.7300335815447511,1.0694,1.2645,0.006271558482282847,0.05494656446605676,5.4539,1.3698,159.45,18.1995
2024-06-24,0.18509949097639983,0.732171621027969,1.0727,1.2684,0.006261348694508797,0.055543521125978254,5.4025,1.3658,159.71,18.0039
2024-06-25,0.1839655616468597,0.732171621027969,1.0705,1.2677,0.0062625250501002,0.05517241379310345,5.4358,1.3658,159.68,18.125
2024-06-26,0.1815508069933371,0.7300868803387603,1.0682,1.2625,0.006223549912870301,0.05504849772649704,5.5081,1.3697,160.68,18.1658
2024-06-27,0.18084817795460711,0.7303001533630322,1.0708,1.2653,0.006222775357809584,0.05459111256687411,5.5295,1.3693,160.7,18.318
2024-06-28,0.17986905532772143,0.7307804735457468,1.0711,1.264,0.006215813028344107,0.05476151360823613,5.5596,1.3684,160.88,18.261
2024-07-01,0.1789324887719863,0.7276961141027506,1.0728,1.265,0.006190034045187248,0.05438920918089851,5.5887,1.3742,161.55,18.386
2024-07-02,0.1761555806087937,0.7304068366079907,1.0737,1.2679,0.006190800470500836,0.05486998556919379,5.6768,1.3691,161.53,18.2249
2024-07-03,0.17945588974230134,0.733998825601879,1.0799,1.2766,0.0061927173643794905,0.05520561330676103,5.5724,1.3624,161.48,18.1141
2024-07-04,0.17945588974230134,0.733998825601879,1.0799,1.2766,0.0061927173643794905,0.05520561330676103,5.5724,1.3624,161.48,18.1141
2024-07-05,0.18247509214992153,0.7336218912772358,1.0828,1.2807,0.006221613886642195,0.0552883286338254,5.4802,1.3631,160.73,18.087
2024-07-08,0.18319380072178357,0.7332991127080737,1.0835,1.2829,0.006220065932698886,0.05557562453108066,5.4587,1.3637,160.77,17.9935
2024-07-09,0.18410781353560643,0.7333528894103843,1.0813,1.2787,0.006195786864931846,0.05572862389309021,5.4316,1.3636,161.4,17.9441
2024-07-10,0.18508236165093467,0.7348618459729571,1.0823,1.2842,0.0061831447474185374,0.05607550005327172,5.403,1.3608,161.73,17.8331
2024-07-11,0.18428084400626554,0.7342683016374183,1.087,1.292,0.00630596544330937,0.056079588151504614,5.4265,1.3619,158.58,17.8318
2024-07-12,0.1832878168588134,0.7338372349012989,1.0902,1.2986,0.006333924499619965,0.056647595309579114,5.4559,1.3627,157.88,17.653
