"action","amendmentIndicator","assetClass","blockTradeIndicator","cleared","coupon","customBasketIndicator","deliveryType","disseminationIdentifier","disseminationTimestamp","effectiveDate","embeddedOptionType","event","eventDateTime","exchangeRate","exchangeRateBasis","executionDateTime","expirationDate","firstExerciseDate","futureValueNotional","indexFactor","instrumentType","leg1CallAmount","leg1CallCurrency","leg1CommodityDesc","leg1EffectiveNotionalAmount","leg1FixedRate","leg1FixedRateDayCount","leg1FixedRatePaymentFrequencyMultiplier","leg1FixedRatePaymentFrequencyPeriod","leg1FloatingRateDayCount","leg1FloatingRatePaymentFrequencyMultiplier","leg1FloatingRatePaymentFrequencyPeriod","leg1NotionalAmount","leg1NotionalCurrency","leg1NotionalEffectiveDate","leg1NotionalEndDate","leg1NotionalQuantity","leg1NotionalScheduleType","leg1PhysicalDeliveryLocation","leg1PhysicalDeliveryRegion","leg1PricingIndexLocation","leg1PricingIndexRegion","leg1PutAmount","leg1PutCurrency","leg1QuantityFrequencyMultiplier","leg1QuantityUnit","leg1ResetFrequencyMultiplier","leg1SettlementCurrency","leg1SettlementLocation","leg1Spread","leg1SpreadCurrency","leg1SpreadNotation","leg1TotalNotionalQuantity","leg1UnderlierCurrency","leg1UnderlierID","leg1UnderlierIDSource","leg1UnderlierTenorMultiplier","leg1UnderlierTenorPeriod","leg1UnderlyingAssetOrContractSubType","leg1UnderlyingAssetOrContractType","leg2CallAmount","leg2CallCurrency","leg2CommodityDesc","leg2EffectiveNotionalAmount","leg2FixedRateDayCount","leg2FixedRatePaymentFrequencyMultiplier","leg2FixedRatePaymentFrequencyPeriod","leg2FloatingRateDayCount","leg2FloatingRatePaymentFrequencyMultiplier","leg2FloatingRatePaymentFrequencyPeriod","leg2NotionalAmount","leg2NotionalCurrency","leg2NotionalEffectiveDate","leg2NotionalEndDate","leg2NotionalQuantity","leg2NotionalScheduleType","leg2PhysicalDeliveryLocation","leg2PhysicalDeliveryRegion","leg2PricingIndexLocation","leg2PricingIndexRegion","leg2PutAmount","leg2PutCurrency","leg2QuantityFrequencyMultiplier","leg2QuantityFrequencyPeriod","leg2QuantityUnit","leg2ResetFrequencyMultiplier","leg2SettlementCurrency","leg2SettlementLocation","leg2Spread","leg2SpreadCurrency","leg2SpreadNotation","leg2TotalNotionalQuantity","leg2UnderlierCurrency","leg2UnderlierID","leg2UnderlierIDSource","leg2UnderlierTenorMultiplier","leg2UnderlierTenorPeriod","leg2UnderlyingAssetOrContractSubType","leg2UnderlyingAssetOrContractType","multiCurrencyIndicator","nonStandardTermIndicator","optionExerciseFrequencyMultiplier","optionExerciseFrequencyPeriod","optionPremiumAmount","optionPremiumCurrency","optionStrikePrice","optionStrikePriceCurrency","optionStrikePriceNotation","optionStyle","optionType","originalDisseminationIdentifier","otherPaymentAmount","otherPaymentCurrency","otherPaymentType","packageIndicator","packageTransactionPrice","packageTransactionPriceCurrency","packageTransactionPriceNotation","packageTransactionSpread","packageTransactionSpreadCurrency","packageTransactionSpreadNotation","platformID","postPricedSwapIndicator","price","priceCurrency","priceNotation","priceUnit","primeBrokerageTransactionIndicator","productCode","productCodeType","productName","returnTriggerType","seniority","standardContractSpecification","underlierExpirationDate","underlyingCreditIndexSeries","underlyingCreditIndexVersion","leg1QuantityFrequencyPeriod","leg1ResetFrequencyPeriod","leg2ResetFrequencyPeriod","optionExerciseEndDate","leg2FixedRate","upi","fisn","upiUnderlierName","notionalCapIndicator","otherPaymentCapIndicator"
"NEWT","","FX","False","Y","","True","","SDRFX94521028","2025-09-26T14:57:58Z","2025-09-26","EXTD","TRAD","2025-09-26T10:55:27Z","1.39401","USD/CAD","2025-09-26T10:55:27Z","2025-09-29","","","","","","","","","","","","","","","","50000","USD","","","","","","","","","","","","","","CAD","","","","","","","","","","","","","","","","50000","","","","","","","50000","USD","2025-09-26","","","","","","","","","","","","","","CAD","","","","","","","","","","","","","","","","","","","","","","","","","","","","True","1.39401","USD","1","","","","","False","","","","","","","","","","","","","","","","","","","","QZ0DHNS97HJT","NA/Swaps CAD USD","CAD USD","N",""
"NEWT","","FX","False","Y","","True","","SDRFX94521025","2025-09-26T14:57:58Z","2025-09-26","EXTD","TRAD","2025-09-26T10:55:27Z","1.393259","USD/CAD","2025-09-26T10:55:27Z","2025-10-10","","","","","","","","","","","","","","","","50000","USD","","","","","","","","","","","","","","CAD","","","","","","","","","","","","","","","","50000","","","","","","","50000","USD","2025-09-26","","","","","","","","","","","","","","CAD","","","","","","","","","","","","","","","","","","","","","","","","","","","","True","1.393259","USD","1","","","","","False","","","","","","","","","","","","","","","","","","","","QZ0DHNS97HJT","NA/Swaps CAD USD","CAD USD","N",""
"NEWT","","FX","False","Y","","True","","SDRFX94521027","2025-09-26T14:57:58Z","2025-09-26","EXTD","TRAD","2025-09-26T10:55:15Z","1.3859578","USD/CAD","2025-09-26T10:55:15Z","2026-02-02","","","","","","","","","","","","","","","","820000","USD","","","","","","","","","","","","","","CAD","","","","","","","","","","","","","","","","820000","","","","","","","820000","USD","2025-09-26","","","","","","","","","","","","","","CAD","","","","","","","","","","","","","","","","","","","","","","","","","","","","True","1.3859578","USD","1","","","","","False","","","","","","","","","","","","","","","","","","","","QZ0DHNS97HJT","NA/Swaps CAD USD","CAD USD","N",""
"NEWT","","FX","False","Y","","True","","SDRFX94521023","2025-09-26T14:57:58Z","2025-09-26","EXTD","TRAD","2025-09-26T10:55:22Z","1.3936171","USD/CAD","2025-09-26T10:55:22Z","2025-10-03","","","","","","","","","","","","","","","","50000","USD","","","","","","","","","","","","","","CAD","","","","","","","","","","","","","","","","50000","","","","","","","50000","USD","2025-09-26","","","","","","","","","","","","","","CAD","","","","","","","","","","","","","","","","","","","","","","","","","","","","True","1.3936171","USD","1","","","","","False","","","","","","","","","","","","","","","","","","","","QZ0DHNS97HJT","NA/Swaps CAD USD","CAD USD","N",""
"NEWT","","FX","False","Y","","True","","SDRFX94521024","2025-09-26T14:57:58Z","2025-09-26","EXTD","TRAD","2025-09-26T10:55:22Z","1.3939","USD/CAD","2025-09-26T10:55:22Z","2025-09-29","","","","","","","","","","","","","","","","50000","USD","","","","","","","","","","","","","","CAD","","","","","","","","","","","","","","","","50000","","","","","","","50000","USD","2025-09-26","","","","","","","","","","","","","","CAD","","","","","","","","","","","","","","","","","","","","","","","","","","","","True","1.3939","USD","1","","","","","False","","","","","","","","","","","","","","","","","","","","QZ0DHNS97HJT","NA/Swaps CAD USD","CAD USD","N",""
"NEWT","","FX","False","Y","","True","","SDRFX94521026","2025-09-26T14:57:58Z","2025-09-26","EXTD","TRAD","2025-09-26T10:55:15Z","1.393792","USD/CAD","2025-09-26T10:55:15Z","2025-10-01","","","","","","","","","","","","","","","","820000","USD","","","","","","","","","","","","","","CAD","","","","","","","","","","","","","","","","820000","","","","","","","820000","USD","2025-09-26","","","","","","","","","","","","","","CAD","","","","","","","","","","","","","","","","","","","","","","","","","","","","True","1.393792","USD","1","","","","","False","","","","","","","","","","","","","","","","","","","","QZ0DHNS97HJT","NA/Swaps CAD USD","CAD USD","N",""
"NEWT","","FX","False","Y","","True","","SDRFX94521013","2025-09-26T14:39:58Z","2025-09-26","EXTD","TRAD","2025-09-26T10:37:43Z","1.3921608","USD/CAD","2025-09-26T10:37:43Z","2025-10-31","","","","","","","","","","","","","","","","200000","USD","","","","","","","","","","","","","","CAD","","","","","","","","","","","","","","","","200000","","","","","","","200000","USD","2025-09-26","","","","","","","","","","","","","","CAD","","","","","","","","","","","","","","","","","","","","","","","","","","","","True","1.3921608","USD","1","","","","","False","","","","","","","","","","","","","","","","","","","","QZ0DHNS97HJT","NA/Swaps CAD USD","CAD USD","N",""
"NEWT","","FX","False","Y","","True","","SDRFX94521012","2025-09-26T14:39:58Z","2025-09-26","EXTD","TRAD","2025-09-26T10:37:21Z","1.3396746","GBP/USD","2025-09-26T10:37:21Z","2025-11-28","","","","","","","","","","","","","","","","64000","USD","","","","","","","","","","","","","","GBP","","","","","","","","","","","","","","","","64000","","","","","","","64000","USD","2025-09-26","","","","","","","","","","","","","","GBP","","","","","","","","","","","","","","","","","","","","","","","","","","","","True","1.3396746","USD","1","","","","","False","","","","","","","","","","","","","","","","","","","","QZS5ZGW6XH6Q","NA/Swaps GBP USD","GBP USD","N",""
"NEWT","","FX","False","Y","","True","","SDRFX94521010","2025-09-26T14:39:58Z","2025-09-26","EXTD","TRAD","2025-09-26T10:37:43Z","1.39431","USD/CAD","2025-09-26T10:37:43Z","2025-09-29","","","","","","","","","","","","","","","","200000","USD","","","","","","","","","","","","","","CAD","","","","","","","","","","","","","","","","200000","","","","","","","200000","USD","2025-09-26","","","","","","","","","","","","","","CAD","","","","","","","","","","","","","","","","","","","","","","","","","","","","True","1.39431","USD","1","","","","","False","","","","","","","","","","","","","","","","","","","","QZ0DHNS97HJT","NA/Swaps CAD USD","CAD USD","N",""
"NEWT","","FX","False","Y","","True","","SDRFX94521011","2025-09-26T14:39:58Z","2025-09-26","EXTD","TRAD","2025-09-26T10:37:21Z","1.3394109","GBP/USD","2025-09-26T10:37:21Z","2025-09-29","","","","","","","","","","","","","","","","64000","USD","","","","","","","","","","","","","","GBP","","","","","","","","","","","","","","","","64000","","","","","","","64000","USD","2025-09-26","","","","","","","","","","","","","","GBP","","","","","","","","","","","","","","","","","","","","","","","","","","","","True","1.3394109","USD","1","","","","","False","","","","","","","","","","","","","","","","","","","","QZS5ZGW6XH6Q","NA/Swaps GBP USD","GBP USD","N",""
