"action","amendmentIndicator","assetClass","blockTradeIndicator","cleared","coupon","customBasketIndicator","deliveryType","disseminationIdentifier","disseminationTimestamp","effectiveDate","embeddedOptionType","event","eventDateTime","exchangeRate","exchangeRateBasis","executionDateTime","expirationDate","firstExerciseDate","futureValueNotional","indexFactor","instrumentType","leg1CallAmount","leg1CallCurrency","leg1CommodityDesc","leg1EffectiveNotionalAmount","leg1FixedRate","leg1FixedRateDayCount","leg1FixedRatePaymentFrequencyMultiplier","leg1FixedRatePaymentFrequencyPeriod","leg1FloatingRateDayCount","leg1FloatingRatePaymentFrequencyMultiplier","leg1FloatingRatePaymentFrequencyPeriod","leg1NotionalAmount","leg1NotionalCurrency","leg1NotionalEffectiveDate","leg1NotionalEndDate","leg1NotionalQuantity","leg1NotionalScheduleType","leg1PhysicalDeliveryLocation","leg1PhysicalDeliveryRegion","leg1PricingIndexLocation","leg1PricingIndexRegion","leg1PutAmount","leg1PutCurrency","leg1QuantityFrequencyMultiplier","leg1QuantityUnit","leg1ResetFrequencyMultiplier","leg1SettlementCurrency","leg1SettlementLocation","leg1Spread","leg1SpreadCurrency","leg1SpreadNotation","leg1TotalNotionalQuantity","leg1UnderlierCurrency","leg1UnderlierID","leg1UnderlierIDSource","leg1UnderlierTenorMultiplier","leg1UnderlierTenorPeriod","leg1UnderlyingAssetOrContractSubType","leg1UnderlyingAssetOrContractType","leg2CallAmount","leg2CallCurrency","leg2CommodityDesc","leg2EffectiveNotionalAmount","leg2FixedRateDayCount","leg2FixedRatePaymentFrequencyMultiplier","leg2FixedRatePaymentFrequencyPeriod","leg2FloatingRateDayCount","leg2FloatingRatePaymentFrequencyMultiplier","leg2FloatingRatePaymentFrequencyPeriod","leg2NotionalAmount","leg2NotionalCurrency","leg2NotionalEffectiveDate","leg2NotionalEndDate","leg2NotionalQuantity","leg2NotionalScheduleType","leg2PhysicalDeliveryLocation","leg2PhysicalDeliveryRegion","leg2PricingIndexLocation","leg2PricingIndexRegion","leg2PutAmount","leg2PutCurrency","leg2QuantityFrequencyMultiplier","leg2QuantityFrequencyPeriod","leg2QuantityUnit","leg2ResetFrequencyMultiplier","leg2SettlementCurrency","leg2SettlementLocation","leg2Spread","leg2SpreadCurrency","leg2SpreadNotation","leg2TotalNotionalQuantity","leg2UnderlierCurrency","leg2UnderlierID","leg2UnderlierIDSource","leg2UnderlierTenorMultiplier","leg2UnderlierTenorPeriod","leg2UnderlyingAssetOrContractSubType","leg2UnderlyingAssetOrContractType","multiCurrencyIndicator","nonStandardTermIndicator","optionExerciseFrequencyMultiplier","optionExerciseFrequencyPeriod","optionPremiumAmount","optionPremiumCurrency","optionStrikePrice","optionStrikePriceCurrency","optionStrikePriceNotation","optionStyle","optionType","originalDisseminationIdentifier","otherPaymentAmount","otherPaymentCurrency","otherPaymentType","packageIndicator","packageTransactionPrice","packageTransactionPriceCurrency","packageTransactionPriceNotation","packageTransactionSpread","packageTransactionSpreadCurrency","packageTransactionSpreadNotation","platformID","postPricedSwapIndicator","price","priceCurrency","priceNotation","priceUnit","primeBrokerageTransactionIndicator","productCode","productCodeType","productName","returnTriggerType","seniority","standardContractSpecification","underlierExpirationDate","underlyingCreditIndexSeries","underlyingCreditIndexVersion","leg1QuantityFrequencyPeriod","leg1ResetFrequencyPeriod","leg2ResetFrequencyPeriod","optionExerciseEndDate","leg2FixedRate","upi","fisn","upiUnderlierName","notionalCapIndicator","otherPaymentCapIndicator"
"NEWT","","FX","False","Y","","True","","SDRFX94517003","2025-09-26T08:49:56Z","2025-09-26","EXTD","TRAD","2025-09-26T04:47:43Z","1.1703763","EUR/USD","2025-09-26T04:47:43Z","2025-10-31","","","","","","","","","","","","","","","","860000","EUR","","","","","","","","","","","","","","USD","","","","","","","","","","","","","","","","860000","","","","","","","860000","EUR","2025-09-26","","","","","","","","","","","","","","USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","True","1.1703763","EUR","1","","","","","False","","","","","","","","","","","","","","","","","","","","QZXRJ14XTB27","NA/Swaps NDS EUR USD","EUR USD","N",""
"NEWT","","FX","False","Y","","True","","SDRFX94517002","2025-09-26T08:49:56Z","2025-09-26","EXTD","TRAD","2025-09-26T04:47:43Z","1.16814","EUR/USD","2025-09-26T04:47:43Z","2025-09-30","","","","","","","","","","","","","","","","860000","EUR","","","","","","","","","","","","","","USD","","","","","","","","","","","","","","","","860000","","","","","","","860000","EUR","2025-09-26","","","","","","","","","","","","","","USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","True","1.16814","EUR","1","","","","","False","","","","","","","","","","","","","","","","","","","","QZXRJ14XTB27","NA/Swaps NDS EUR USD","EUR USD","N",""
"NEWT","","FX","False","Y","","True","","SDRFX94517001","2025-09-26T08:48:49Z","2025-09-26","EXTD","TRAD","2025-09-26T04:46:33Z","149.77791","USD/JPY","2025-09-26T04:46:33Z","2025-09-29","","","","","","","","","","","","","","","","12000000","JPY","","","","","","","","","","","","","","USD","","","","","","","","","","","","","","","","","","","","","","","99999999999999999999.99999","JPY","","","","","","","","","","","","","","","USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","True","149.77791","JPY","1","","","","","False","","","","","","","","","","","","","","","","","","","","QZ8QJ6XXG7X5","NA/Fwd JPY USD","JPY USD","N",""
"NEWT","","FX","False","Y","","True","","SDRFX94516951","2025-09-26T08:40:56Z","2025-09-26","EXTD","TRAD","2025-09-26T00:00:00Z","149.77791","USD/JPY","2025-09-26T00:00:00Z","2025-09-29","","","","","","","","","","","","","","","","2700000000","JPY","","","","","","","","","","","","","","USD","","","","","","","","","","","","","","","","2700000000","","","","","","","2700000000","JPY","2025-09-26","","","","","","","","","","","","","","USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","True","149.77791","JPY","1","","","","","False","","","","","","","","","","","","","","","","","","","","QZV150BVHXWC","NA/Swaps JPY USD","JPY USD","N",""
"NEWT","","FX","False","Y","","True","","SDRFX94516970","2025-09-26T08:40:56Z","2025-09-26","EXTD","TRAD","2025-09-26T00:00:00Z","0.7990952","USD/CHF","2025-09-26T00:00:00Z","2025-09-29","","","","","","","","","","","","","","","","6000000","CHF","","","","","","","","","","","","","","USD","","","","","","","","","","","","","","","","6000000","","","","","","","6000000","CHF","2025-09-26","","","","","","","","","","","","","","USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","True","0.7990952","CHF","1","","","","","False","","","","","","","","","","","","","","","","","","","","QZWP0WPV2FPT","NA/Swaps CHF USD","CHF USD","N",""
"NEWT","","FX","False","Y","","True","","SDRFX94516972","2025-09-26T08:40:56Z","2025-09-26","EXTD","TRAD","2025-09-26T00:00:00Z","1.335419","GBP/USD","2025-09-26T00:00:00Z","2025-09-30","","","","","","","","","","","","","","","","1000000","GBP","","","","","","","","","","","","","","USD","","","","","","","","","","","","","","","","1000000","","","","","","","1000000","GBP","2025-09-26","","","","","","","","","","","","","","USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","True","1.335419","GBP","1","","","","","False","","","","","","","","","","","","","","","","","","","","QZS5ZGW6XH6Q","NA/Swaps GBP USD","GBP USD","N",""
"NEWT","","FX","False","Y","","True","","SDRFX94516974","2025-09-26T08:40:56Z","2025-09-26","EXTD","TRAD","2025-09-26T00:00:00Z","0.6538405","AUD/USD","2025-09-26T00:00:00Z","2025-09-29","","","","","","","","","","","","","","","","3000000","AUD","","","","","","","","","","","","","","USD","","","","","","","","","","","","","","","","3000000","","","","","","","3000000","AUD","2025-09-26","","","","","","","","","","","","","","USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","True","0.6538405","AUD","1","","","","","False","","","","","","","","","","","","","","","","","","","","QZK455DHG53Q","NA/Swaps AUD USD","AUD USD","N",""
"NEWT","","FX","False","Y","","True","","SDRFX94516976","2025-09-26T08:40:56Z","2025-09-26","EXTD","TRAD","2025-09-26T00:00:00Z","1.394558","USD/CAD","2025-09-26T00:00:00Z","2025-09-29","","","","","","","","","","","","","","","","6000000","CAD","","","","","","","","","","","","","","USD","","","","","","","","","","","","","","","","6000000","","","","","","","6000000","CAD","2025-09-26","","","","","","","","","","","","","","USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","True","1.394558","CAD","1","","","","","False","","","","","","","","","","","","","","","","","","","","QZ0DHNS97HJT","NA/Swaps CAD USD","CAD USD","N",""
"NEWT","","FX","False","Y","","True","","SDRFX94516952","2025-09-26T08:40:56Z","2025-09-26","EXTD","TRAD","2025-09-26T00:00:00Z","1.1677194","EUR/USD","2025-09-26T00:00:00Z","2025-09-29","","","","","","","","","","","","","","","","10000000","EUR","","","","","","","","","","","","","","USD","","","","","","","","","","","","","","","","10000000","","","","","","","10000000","EUR","2025-09-26","","","","","","","","","","","","","","USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","True","1.1677194","EUR","1","","","","","False","","","","","","","","","","","","","","","","","","","","QZXRJ14XTB27","NA/Swaps NDS EUR USD","EUR USD","N",""
"NEWT","","FX","False","Y","","True","","SDRFX94516949","2025-09-26T08:40:56Z","2025-09-26","EXTD","TRAD","2025-09-26T00:00:00Z","0.7990952","USD/CHF","2025-09-26T00:00:00Z","2025-09-29","","","","","","","","","","","","","","","","48000","CHF","","","","","","","","","","","","","","USD","","","","","","","","","","","","","","","","48000","","","","","","","48000","CHF","2025-09-26","","","","","","","","","","","","","","USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","True","0.7990952","CHF","1","","","","","False","","","","","","","","","","","","","","","","","","","","QZWP0WPV2FPT","NA/Swaps CHF USD","CHF USD","N",""
