"action","amendmentIndicator","assetClass","blockTradeIndicator","cleared","coupon","customBasketIndicator","deliveryType","disseminationIdentifier","disseminationTimestamp","effectiveDate","embeddedOptionType","event","eventDateTime","exchangeRate","exchangeRateBasis","executionDateTime","expirationDate","firstExerciseDate","futureValueNotional","indexFactor","instrumentType","leg1CallAmount","leg1CallCurrency","leg1CommodityDesc","leg1EffectiveNotionalAmount","leg1FixedRate","leg1FixedRateDayCount","leg1FixedRatePaymentFrequencyMultiplier","leg1FixedRatePaymentFrequencyPeriod","leg1FloatingRateDayCount","leg1FloatingRatePaymentFrequencyMultiplier","leg1FloatingRatePaymentFrequencyPeriod","leg1NotionalAmount","leg1NotionalCurrency","leg1NotionalEffectiveDate","leg1NotionalEndDate","leg1NotionalQuantity","leg1NotionalScheduleType","leg1PhysicalDeliveryLocation","leg1PhysicalDeliveryRegion","leg1PricingIndexLocation","leg1PricingIndexRegion","leg1PutAmount","leg1PutCurrency","leg1QuantityFrequencyMultiplier","leg1QuantityUnit","leg1ResetFrequencyMultiplier","leg1SettlementCurrency","leg1SettlementLocation","leg1Spread","leg1SpreadCurrency","leg1SpreadNotation","leg1TotalNotionalQuantity","leg1UnderlierCurrency","leg1UnderlierID","leg1UnderlierIDSource","leg1UnderlierTenorMultiplier","leg1UnderlierTenorPeriod","leg1UnderlyingAssetOrContractSubType","leg1UnderlyingAssetOrContractType","leg2CallAmount","leg2CallCurrency","leg2CommodityDesc","leg2EffectiveNotionalAmount","leg2FixedRateDayCount","leg2FixedRatePaymentFrequencyMultiplier","leg2FixedRatePaymentFrequencyPeriod","leg2FloatingRateDayCount","leg2FloatingRatePaymentFrequencyMultiplier","leg2FloatingRatePaymentFrequencyPeriod","leg2NotionalAmount","leg2NotionalCurrency","leg2NotionalEffectiveDate","leg2NotionalEndDate","leg2NotionalQuantity","leg2NotionalScheduleType","leg2PhysicalDeliveryLocation","leg2PhysicalDeliveryRegion","leg2PricingIndexLocation","leg2PricingIndexRegion","leg2PutAmount","leg2PutCurrency","leg2QuantityFrequencyMultiplier","leg2QuantityFrequencyPeriod","leg2QuantityUnit","leg2ResetFrequencyMultiplier","leg2SettlementCurrency","leg2SettlementLocation","leg2Spread","leg2SpreadCurrency","leg2SpreadNotation","leg2TotalNotionalQuantity","leg2UnderlierCurrency","leg2UnderlierID","leg2UnderlierIDSource","leg2UnderlierTenorMultiplier","leg2UnderlierTenorPeriod","leg2UnderlyingAssetOrContractSubType","leg2UnderlyingAssetOrContractType","multiCurrencyIndicator","nonStandardTermIndicator","optionExerciseFrequencyMultiplier","optionExerciseFrequencyPeriod","optionPremiumAmount","optionPremiumCurrency","optionStrikePrice","optionStrikePriceCurrency","optionStrikePriceNotation","optionStyle","optionType","originalDisseminationIdentifier","otherPaymentAmount","otherPaymentCurrency","otherPaymentType","packageIndicator","packageTransactionPrice","packageTransactionPriceCurrency","packageTransactionPriceNotation","packageTransactionSpread","packageTransactionSpreadCurrency","packageTransactionSpreadNotation","platformID","postPricedSwapIndicator","price","priceCurrency","priceNotation","priceUnit","primeBrokerageTransactionIndicator","productCode","productCodeType","productName","returnTriggerType","seniority","standardContractSpecification","underlierExpirationDate","underlyingCreditIndexSeries","underlyingCreditIndexVersion","leg1QuantityFrequencyPeriod","leg1ResetFrequencyPeriod","leg2ResetFrequencyPeriod","optionExerciseEndDate","leg2FixedRate","upi","fisn","upiUnderlierName","notionalCapIndicator","otherPaymentCapIndicator"
"NEWT","","FX","False","Y","","True","","SDRFX94521361","2025-09-26T17:43:51Z","2025-09-26","EXTD","TRAD","2025-09-26T13:41:15Z","1.39391","USD/CAD","2025-09-26T13:41:15Z","2025-09-29","","","","","","","","","","","","","","","","7000000","USD","","","","","","","","","","","","","","CAD","","","","","","","","","","","","","","","","7000000","","","","","","","7000000","USD","2025-09-26","","","","","","","","","","","","","","CAD","","","","","","","","","","","","","","","","","","","","","","","","","","","","True","1.39391","USD","1","","","","","False","","","","","","","","","","","","","","","","","","","","QZ0DHNS97HJT","NA/Swaps CAD USD","CAD USD","N",""
"NEWT","","FX","False","Y","","True","","SDRFX94521362","2025-09-26T17:43:51Z","2025-09-26","EXTD","TRAD","2025-09-26T13:41:15Z","1.3928224","USD/CAD","2025-09-26T13:41:15Z","2025-10-15","","","","","","","","","","","","","","","","7000000","USD","","","","","","","","","","","","","","CAD","","","","","","","","","","","","","","","","7000000","","","","","","","7000000","USD","2025-09-26","","","","","","","","","","","","","","CAD","","","","","","","","","","","","","","","","","","","","","","","","","","","","True","1.3928224","USD","1","","","","","False","","","","","","","","","","","","","","","","","","","","QZ0DHNS97HJT","NA/Swaps CAD USD","CAD USD","N",""
"NEWT","","FX","False","Y","","True","","SDRFX94521359","2025-09-26T17:37:49Z","2025-09-26","EXTD","TRAD","2025-09-26T13:34:54Z","1.39387","USD/CAD","2025-09-26T13:34:54Z","2025-09-29","","","","","","","","","","","","","","","","600000","USD","","","","","","","","","","","","","","CAD","","","","","","","","","","","","","","","","600000","","","","","","","600000","USD","2025-09-26","","","","","","","","","","","","","","CAD","","","","","","","","","","","","","","","","","","","","","","","","","","","","True","1.39387","USD","1","","","","","False","","","","","","","","","","","","","","","","","","","","QZ0DHNS97HJT","NA/Swaps CAD USD","CAD USD","N",""
"NEWT","","FX","False","Y","","True","","SDRFX94521360","2025-09-26T17:37:49Z","2025-09-26","EXTD","TRAD","2025-09-26T13:34:54Z","1.3917174","USD/CAD","2025-09-26T13:34:54Z","2025-10-31","","","","","","","","","","","","","","","","600000","USD","","","","","","","","","","","","","","CAD","","","","","","","","","","","","","","","","600000","","","","","","","600000","USD","2025-09-26","","","","","","","","","","","","","","CAD","","","","","","","","","","","","","","","","","","","","","","","","","","","","True","1.3917174","USD","1","","","","","False","","","","","","","","","","","","","","","","","","","","QZ0DHNS97HJT","NA/Swaps CAD USD","CAD USD","N",""
"NEWT","","FX","False","Y","","True","","SDRFX94521358","2025-09-26T17:36:18Z","2025-09-26","EXTD","TRAD","2025-09-26T13:31:20Z","18.3738","USD/MXN","2025-09-26T13:31:20Z","2025-09-29","","","","","","","","","","","","","","","","130000","USD","","","","","","","","","","","","","","MXN","","","","","","","","","","","","","","","","","","","","","","","99999999999999999999.99999","USD","","","","","","","","","","","","","","","MXN","","","","","","","","","","","","","","","","","","","","","","","","","","","","True","18.3738","USD","1","","","","","False","","","","","","","","","","","","","","","","","","","","QZT6XCZMS9WH","NA/FX Fwd Nstd MXN USD","MXN USD","N",""
"NEWT","","FX","False","Y","","True","","SDRFX94521334","2025-09-26T17:29:05Z","2025-09-26","EXTD","TRAD","2025-09-26T13:25:57Z","1.6309498","EUR/CAD","2025-09-26T13:25:57Z","2025-11-03","","","","","","","","","","","","","","","","10000","EUR","","","","","","","","","","","","","","CAD","","","","","","","","","","","","","","","","","","","","","","","99999999999999999999.99999","EUR","","","","","","","","","","","","","","","CAD","","","","","","","","","","","","","","","","","","","","","","","","","","","","True","1.6309498","EUR","1","","","","","False","","","","","","","","","","","","","","","","","","","","QZSFZ1R00T9Q","NA/Fwd CAD EUR","CAD EUR","N",""
"NEWT","","FX","False","Y","","True","","SDRFX94521328","2025-09-26T17:15:53Z","2025-09-26","EXTD","TRAD","2025-09-26T13:08:55Z","18.395","USD/MXN","2025-09-26T13:08:55Z","2025-09-30","","","","","","","","","","","","","","","","100000","USD","","","","","","","","","","","","","","MXN","","","","","","","","","","","","","","","","","","","","","","","99999999999999999999.99999","USD","","","","","","","","","","","","","","","MXN","","","","","","","","","","","","","","","","","","","","","","","","","","","","True","18.395","USD","1","","","","","False","","","","","","","","","","","","","","","","","","","","QZT6XCZMS9WH","NA/FX Fwd Nstd MXN USD","MXN USD","N",""
"NEWT","","FX","False","Y","","True","","SDRFX94521326","2025-09-26T17:03:59Z","2025-09-26","EXTD","TRAD","2025-09-26T13:01:36Z","1.391401","USD/CAD","2025-09-26T13:01:36Z","2025-10-31","","","","","","","","","","","","","","","","500000","USD","","","","","","","","","","","","","","CAD","","","","","","","","","","","","","","","","","","","","","","","99999999999999999999.99999","USD","","","","","","","","","","","","","","","CAD","","","","","","","","","","","","","","","","","","","","","","","","","","","","True","1.391401","USD","1","","","","","False","","","","","","","","","","","","","","","","","","","","QZZT4LTBDL7R","NA/Fwd CAD USD","CAD USD","N",""
