"action","amendmentIndicator","assetClass","blockTradeIndicator","cleared","coupon","customBasketIndicator","deliveryType","disseminationIdentifier","disseminationTimestamp","effectiveDate","embeddedOptionType","event","eventDateTime","exchangeRate","exchangeRateBasis","executionDateTime","expirationDate","firstExerciseDate","futureValueNotional","indexFactor","instrumentType","leg1CallAmount","leg1CallCurrency","leg1CommodityDesc","leg1EffectiveNotionalAmount","leg1FixedRate","leg1FixedRateDayCount","leg1FixedRatePaymentFrequencyMultiplier","leg1FixedRatePaymentFrequencyPeriod","leg1FloatingRateDayCount","leg1FloatingRatePaymentFrequencyMultiplier","leg1FloatingRatePaymentFrequencyPeriod","leg1NotionalAmount","leg1NotionalCurrency","leg1NotionalEffectiveDate","leg1NotionalEndDate","leg1NotionalQuantity","leg1NotionalScheduleType","leg1PhysicalDeliveryLocation","leg1PhysicalDeliveryRegion","leg1PricingIndexLocation","leg1PricingIndexRegion","leg1PutAmount","leg1PutCurrency","leg1QuantityFrequencyMultiplier","leg1QuantityUnit","leg1ResetFrequencyMultiplier","leg1SettlementCurrency","leg1SettlementLocation","leg1Spread","leg1SpreadCurrency","leg1SpreadNotation","leg1TotalNotionalQuantity","leg1UnderlierCurrency","leg1UnderlierID","leg1UnderlierIDSource","leg1UnderlierTenorMultiplier","leg1UnderlierTenorPeriod","leg1UnderlyingAssetOrContractSubType","leg1UnderlyingAssetOrContractType","leg2CallAmount","leg2CallCurrency","leg2CommodityDesc","leg2EffectiveNotionalAmount","leg2FixedRateDayCount","leg2FixedRatePaymentFrequencyMultiplier","leg2FixedRatePaymentFrequencyPeriod","leg2FloatingRateDayCount","leg2FloatingRatePaymentFrequencyMultiplier","leg2FloatingRatePaymentFrequencyPeriod","leg2NotionalAmount","leg2NotionalCurrency","leg2NotionalEffectiveDate","leg2NotionalEndDate","leg2NotionalQuantity","leg2NotionalScheduleType","leg2PhysicalDeliveryLocation","leg2PhysicalDeliveryRegion","leg2PricingIndexLocation","leg2PricingIndexRegion","leg2PutAmount","leg2PutCurrency","leg2QuantityFrequencyMultiplier","leg2QuantityFrequencyPeriod","leg2QuantityUnit","leg2ResetFrequencyMultiplier","leg2SettlementCurrency","leg2SettlementLocation","leg2Spread","leg2SpreadCurrency","leg2SpreadNotation","leg2TotalNotionalQuantity","leg2UnderlierCurrency","leg2UnderlierID","leg2UnderlierIDSource","leg2UnderlierTenorMultiplier","leg2UnderlierTenorPeriod","leg2UnderlyingAssetOrContractSubType","leg2UnderlyingAssetOrContractType","multiCurrencyIndicator","nonStandardTermIndicator","optionExerciseFrequencyMultiplier","optionExerciseFrequencyPeriod","optionPremiumAmount","optionPremiumCurrency","optionStrikePrice","optionStrikePriceCurrency","optionStrikePriceNotation","optionStyle","optionType","originalDisseminationIdentifier","otherPaymentAmount","otherPaymentCurrency","otherPaymentType","packageIndicator","packageTransactionPrice","packageTransactionPriceCurrency","packageTransactionPriceNotation","packageTransactionSpread","packageTransactionSpreadCurrency","packageTransactionSpreadNotation","platformID","postPricedSwapIndicator","price","priceCurrency","priceNotation","priceUnit","primeBrokerageTransactionIndicator","productCode","productCodeType","productName","returnTriggerType","seniority","standardContractSpecification","underlierExpirationDate","underlyingCreditIndexSeries","underlyingCreditIndexVersion","leg1QuantityFrequencyPeriod","leg1ResetFrequencyPeriod","leg2ResetFrequencyPeriod","optionExerciseEndDate","leg2FixedRate","upi","fisn","upiUnderlierName","notionalCapIndicator","otherPaymentCapIndicator"
"NEWT","","FX","False","Y","","True","","SDRFX94520961","2025-09-26T13:59:52Z","2025-09-26","EXTD","TRAD","2025-09-26T09:57:08Z","1.3938772","USD/CAD","2025-09-26T09:57:08Z","2025-10-03","","","","","","","","","","","","","","","","200000","USD","","","","","","","","","","","","","","CAD","","","","","","","","","","","","","","","","200000","","","","","","","200000","USD","2025-09-26","","","","","","","","","","","","","","CAD","","","","","","","","","","","","","","","","","","","","","","","","","","","","True","1.3938772","USD","1","","","","","False","","","","","","","","","","","","","","","","","","","","QZ0DHNS97HJT","NA/Swaps CAD USD","CAD USD","N",""
"NEWT","","FX","False","Y","","True","","SDRFX94520960","2025-09-26T13:59:52Z","2025-09-26","EXTD","TRAD","2025-09-26T09:57:08Z","1.39416","USD/CAD","2025-09-26T09:57:08Z","2025-09-29","","","","","","","","","","","","","","","","200000","USD","","","","","","","","","","","","","","CAD","","","","","","","","","","","","","","","","200000","","","","","","","200000","USD","2025-09-26","","","","","","","","","","","","","","CAD","","","","","","","","","","","","","","","","","","","","","","","","","","","","True","1.39416","USD","1","","","","","False","","","","","","","","","","","","","","","","","","","","QZ0DHNS97HJT","NA/Swaps CAD USD","CAD USD","N",""
"NEWT","","FX","False","Y","","True","","SDRFX94520956","2025-09-26T13:53:32Z","2025-09-26","EXTD","TRAD","2025-09-26T09:50:22Z","1.39403","USD/CAD","2025-09-26T09:50:22Z","2025-09-29","","","","","","","","","","","","","","","","260000","USD","","","","","","","","","","","","","","CAD","","","","","","","","","","","","","","","","260000","","","","","","","260000","USD","2025-09-26","","","","","","","","","","","","","","CAD","","","","","","","","","","","","","","","","","","","","","","","","","","","","True","1.39403","USD","1","","","","","False","","","","","","","","","","","","","","","","","","","","QZ0DHNS97HJT","NA/Swaps CAD USD","CAD USD","N",""
"NEWT","","FX","False","Y","","True","","SDRFX94520957","2025-09-26T13:53:32Z","2025-09-26","EXTD","TRAD","2025-09-26T09:50:22Z","1.3926087","USD/CAD","2025-09-26T09:50:22Z","2025-10-20","","","","","","","","","","","","","","","","260000","USD","","","","","","","","","","","","","","CAD","","","","","","","","","","","","","","","","260000","","","","","","","260000","USD","2025-09-26","","","","","","","","","","","","","","CAD","","","","","","","","","","","","","","","","","","","","","","","","","","","","True","1.3926087","USD","1","","","","","False","","","","","","","","","","","","","","","","","","","","QZ0DHNS97HJT","NA/Swaps CAD USD","CAD USD","N",""
"NEWT","","FX","False","Y","","True","","SDRFX94520937","2025-09-26T13:32:09Z","2025-09-26","EXTD","TRAD","2025-09-26T09:28:57Z","1.6284214","EUR/CAD","2025-09-26T09:28:57Z","2025-09-29","","","","","","","","","","","","","","","","1000000","EUR","","","","","","","","","","","","","","CAD","","","","","","","","","","","","","","","","","","","","","","","99999999999999999999.99999","EUR","","","","","","","","","","","","","","","CAD","","","","","","","","","","","","","","","","","","","","","","","","","","","","True","1.6284214","EUR","1","","","","","False","","","","","","","","","","","","","","","","","","","","QZSFZ1R00T9Q","NA/Fwd CAD EUR","CAD EUR","N",""
"NEWT","","FX","False","Y","","True","","SDRFX94520933","2025-09-26T13:25:53Z","2025-09-26","EXTD","TRAD","2025-09-26T09:18:55Z","18.412","USD/MXN","2025-09-26T09:18:55Z","2025-09-30","","","","","","","","","","","","","","","","300000","USD","","","","","","","","","","","","","","MXN","","","","","","","","","","","","","","","","","","","","","","","99999999999999999999.99999","USD","","","","","","","","","","","","","","","MXN","","","","","","","","","","","","","","","","","","","","","","","","","","","","True","18.412","USD","1","","","","","False","","","","","","","","","","","","","","","","","","","","QZT6XCZMS9WH","NA/FX Fwd Nstd MXN USD","MXN USD","N",""
"NEWT","","FX","False","Y","","True","","SDRFX94520932","2025-09-26T13:24:01Z","2025-09-26","EXTD","TRAD","2025-09-26T09:21:22Z","1.3930952","USD/CAD","2025-09-26T09:21:22Z","2025-10-09","","","","","","","","","","","","","","","","400000","USD","","","","","","","","","","","","","","CAD","","","","","","","","","","","","","","","","400000","","","","","","","400000","USD","2025-09-26","","","","","","","","","","","","","","CAD","","","","","","","","","","","","","","","","","","","","","","","","","","","","True","1.3930952","USD","1","","","","","False","","","","","","","","","","","","","","","","","","","","QZ0DHNS97HJT","NA/Swaps CAD USD","CAD USD","N",""
"NEWT","","FX","False","Y","","True","","SDRFX94520931","2025-09-26T13:24:01Z","2025-09-26","EXTD","TRAD","2025-09-26T09:21:22Z","1.39378","USD/CAD","2025-09-26T09:21:22Z","2025-09-29","","","","","","","","","","","","","","","","400000","USD","","","","","","","","","","","","","","CAD","","","","","","","","","","","","","","","","400000","","","","","","","400000","USD","2025-09-26","","","","","","","","","","","","","","CAD","","","","","","","","","","","","","","","","","","","","","","","","","","","","True","1.39378","USD","1","","","","","False","","","","","","","","","","","","","","","","","","","","QZ0DHNS97HJT","NA/Swaps CAD USD","CAD USD","N",""
"TERM","True","FX","False","N","","False","","SDRFX94520929","2025-09-26T13:18:52Z","2024-12-10","","ETRM","2025-09-26T13:17:04Z","5.513","USD/BRL","2024-12-10T16:25:04Z","2026-03-16","","","","","","","","","","","","","","","","2000000","USD","","","","","","","","","","","","","","BRL","","","","","","","","","","","","","","","","","","","","","","","9000000","BRL","","","","","","","","","","","","","","","USD","","","","","","","","","","","","","","False","","","","","","","","","","SDRFX90613842","","","","False","","","","","","","XXXX","False","","","","","False","","","","","","","2026-03-16","","","","","","","","QZ95QCJX1JRX","NA/Fwd NDF BRL USD","BRL USD","N",""
"REVI","True","FX","False","N","","False","","SDRFX94520928","2025-09-26T13:16:49Z","2024-12-10","","","2025-09-26T13:14:48Z","5.513","USD/BRL","2024-12-10T16:25:04Z","2026-03-16","","","","","","","","","","","","","","","","2000000","USD","","","","","","","","","","","","","","BRL","","","","","","","","","","","","","","","","","","","","","","","9000000","BRL","","","","","","","","","","","","","","","USD","","","","","","","","","","","","","","False","","","","","","","","","","SDRFX90613842","","","","False","","","","","","","XXXX","False","","","","","False","","","","","","","2026-03-16","","","","","","","","QZ95QCJX1JRX","NA/Fwd NDF BRL USD","BRL USD","N",""
